programme_key,zero_retention,prediction_type,dhw_band,n,observed_mean,predicted_mean,occurrence_mean,positive_mean,bias,mae,rmse,predictive_r2
ltmp,0.25,conditional_positive,<4,22,0.03263734602924641,0.1660868006342121,1,0.1660868006342121,0.13344945460496568,0.1548451651533848,0.1970504558840877,-6.975433370464927
ltmp,0.25,conditional_positive,4-<8,131,0.06721897854698504,0.15537143393671748,1,0.15537143393671748,0.08815245538973243,0.1354558735628419,0.1644896307380922,-0.4273661859295852
ltmp,0.25,conditional_positive,8-<12,46,0.1767742551429298,0.26986516774245284,1,0.26986516774245284,0.09309091259952305,0.1468390145679061,0.18246092918399728,0.37840081755371946
ltmp,0.25,prevalence_corrected,<4,22,0.03263734602924641,0.045314263812076816,0.25710792638950997,0.1660868006342121,0.01267691778283041,0.061494273114195065,0.09151975077905167,-0.7203985222073312
ltmp,0.25,prevalence_corrected,4-<8,131,0.06721897854698504,0.06182944952324148,0.36932240966189617,0.15537143393671748,-0.0053895290237435675,0.07815276382791582,0.13110833859575574,0.09318440366984426
ltmp,0.25,prevalence_corrected,8-<12,46,0.1767742551429298,0.19917518625231642,0.6068574630606102,0.26986516774245284,0.02240093110938663,0.10388666555968504,0.14779785059840703,0.5921439520574049
ltmp,0.25,raw_downsampled,<4,22,0.03263734602924641,0.09534660764284496,0.5522468996754498,0.1660868006342121,0.06270926161359855,0.0980043293433783,0.13258447223749603,-2.6106445105160114
ltmp,0.25,raw_downsampled,4-<8,131,0.06721897854698504,0.10809692065659164,0.6685145688910197,0.15537143393671748,0.0408779421096066,0.10196421152004542,0.13831327950460595,-0.009220609149948267
ltmp,0.25,raw_downsampled,8-<12,46,0.1767742551429298,0.23864081032448847,0.8162628635776106,0.26986516774245284,0.0618665551815587,0.12371161507307982,0.16133912141484735,0.5139845833891479
ltmp,0.5,conditional_positive,<4,22,0.03263734602924641,0.1660868006342121,1,0.1660868006342121,0.13344945460496568,0.1548451651533848,0.1970504558840877,-6.975433370464927
ltmp,0.5,conditional_positive,4-<8,131,0.06721897854698504,0.15537143393671748,1,0.15537143393671748,0.08815245538973243,0.1354558735628419,0.1644896307380922,-0.4273661859295852
ltmp,0.5,conditional_positive,8-<12,46,0.1767742551429298,0.26986516774245284,1,0.26986516774245284,0.09309091259952305,0.1468390145679061,0.18246092918399728,0.37840081755371946
ltmp,0.5,prevalence_corrected,<4,22,0.03263734602924641,0.050982612796559294,0.28160553755982315,0.1660868006342121,0.018345266767312886,0.06842455095715286,0.10344983274717298,-1.1981584218326913
ltmp,0.5,prevalence_corrected,4-<8,131,0.06721897854698504,0.06622739103107064,0.37783388798568557,0.15537143393671748,-9.915875159144001e-4,0.07740041734385117,0.12772458875010667,0.13938803671421918
ltmp,0.5,prevalence_corrected,8-<12,46,0.1767742551429298,0.20426816916915091,0.5970325745070112,0.26986516774245284,0.02749391402622114,0.10767145642069378,0.15595379225943157,0.5458884481651465
ltmp,0.5,raw_downsampled,<4,22,0.03263734602924641,0.07386830983516847,0.41671049524509773,0.1660868006342121,0.04123096380592206,0.08455629113103506,0.12306948016013022,-2.1110008913437808
ltmp,0.5,raw_downsampled,4-<8,131,0.06721897854698504,0.08923758712344237,0.5231355347947085,0.15537143393671748,0.022018608576457325,0.08807978672805475,0.13030288070060536,0.10429213632604206
ltmp,0.5,raw_downsampled,8-<12,46,0.1767742551429298,0.22295368531068005,0.6966102438360902,0.26986516774245284,0.04617943016775026,0.11570038838414574,0.16008239390065065,0.521526587032322
ltmp,0.75,conditional_positive,<4,22,0.03263734602924641,0.1660868006342121,1,0.1660868006342121,0.13344945460496568,0.1548451651533848,0.1970504558840877,-6.975433370464927
ltmp,0.75,conditional_positive,4-<8,131,0.06721897854698504,0.15537143393671748,1,0.15537143393671748,0.08815245538973243,0.1354558735628419,0.1644896307380922,-0.4273661859295852
ltmp,0.75,conditional_positive,8-<12,46,0.1767742551429298,0.26986516774245284,1,0.26986516774245284,0.09309091259952305,0.1468390145679061,0.18246092918399728,0.37840081755371946
ltmp,0.75,prevalence_corrected,<4,22,0.03263734602924641,0.053858473062068125,0.30459799807781157,0.1660868006342121,0.021221127032821717,0.06700059769191177,0.10208304548651874,-1.1404576490735852
ltmp,0.75,prevalence_corrected,4-<8,131,0.06721897854698504,0.06704116810365514,0.3780406957195421,0.15537143393671748,-1.7781044332991364e-4,0.0776876868469825,0.12895489944196561,0.12272844645719228
ltmp,0.75,prevalence_corrected,8-<12,46,0.1767742551429298,0.2090895644115619,0.6177898151473628,0.26986516774245284,0.032315309268632124,0.10800469639662527,0.1547881856179101,0.5526511868942909
ltmp,0.75,raw_downsampled,<4,22,0.03263734602924641,0.06378473978284914,0.363486144052199,0.1660868006342121,0.031147393753602738,0.0742351390520803,0.11021008590968565,-1.4948364760037753
ltmp,0.75,raw_downsampled,4-<8,131,0.06721897854698504,0.07666800547355249,0.4376379105849135,0.15537143393671748,0.009449026926567438,0.08177109400580347,0.1296310450960358,0.11350478129329156
ltmp,0.75,raw_downsampled,8-<12,46,0.1767742551429298,0.21688002909475138,0.6597002293567293,0.26986516774245284,0.04010577395182159,0.11149465153308841,0.1570839998427185,0.539282644541217
ltmp,1,conditional_positive,<4,22,0.03263734602924641,0.1660868006342121,1,0.1660868006342121,0.13344945460496568,0.1548451651533848,0.1970504558840877,-6.975433370464927
ltmp,1,conditional_positive,4-<8,131,0.06721897854698504,0.15537143393671748,1,0.15537143393671748,0.08815245538973243,0.1354558735628419,0.1644896307380922,-0.4273661859295852
ltmp,1,conditional_positive,8-<12,46,0.1767742551429298,0.26986516774245284,1,0.26986516774245284,0.09309091259952305,0.1468390145679061,0.18246092918399728,0.37840081755371946
ltmp,1,prevalence_corrected,<4,22,0.03263734602924641,0.056183889680849704,0.31986917713153523,0.1660868006342121,0.0235465436516033,0.06931755289377697,0.10589050528947468,-1.3031034430474522
ltmp,1,prevalence_corrected,4-<8,131,0.06721897854698504,0.06663134248531341,0.3803233708608126,0.15537143393671748,-5.876360616716394e-4,0.07698520422453509,0.1282980406463503,0.13164281776048636
ltmp,1,prevalence_corrected,8-<12,46,0.1767742551429298,0.2088032869564394,0.6123010271578828,0.26986516774245284,0.03202903181350963,0.10640911460090834,0.15347278449641905,0.5602220853077513
ltmp,1,raw_downsampled,<4,22,0.03263734602924641,0.056183889680849704,0.31986917713153523,0.1660868006342121,0.0235465436516033,0.06931755289377697,0.10589050528947468,-1.3031034430474522
ltmp,1,raw_downsampled,4-<8,131,0.06721897854698504,0.06663134248531341,0.3803233708608126,0.15537143393671748,-5.876360616716394e-4,0.07698520422453509,0.1282980406463503,0.13164281776048636
ltmp,1,raw_downsampled,8-<12,46,0.1767742551429298,0.2088032869564394,0.6123010271578828,0.26986516774245284,0.03202903181350963,0.10640911460090834,0.15347278449641905,0.5602220853077513
manta,0.25,conditional_positive,<4,38,0.04052404600970621,0.1625823963299763,1,0.1625823963299763,0.12205835032027008,0.14457521306567572,0.15808947480662316,-0.8580637710533507
manta,0.25,conditional_positive,4-<8,152,0.08898074205927585,0.19973104934440847,1,0.19973104934440847,0.11075030728513262,0.15453508212685824,0.17316268133401372,-0.4598258325239346
manta,0.25,conditional_positive,8-<12,58,0.18060479922700998,0.24617216746761847,1,0.24617216746761847,0.06556736824060849,0.1274010051225249,0.14833518148503605,0.2620987727543258
manta,0.25,prevalence_corrected,<4,38,0.04052404600970621,0.04358937909887023,0.25878403614117623,0.1625823963299763,0.0030653330891640203,0.058374622942892876,0.10387399199882424,0.19782643350889106
manta,0.25,prevalence_corrected,4-<8,152,0.08898074205927585,0.08127885664563231,0.37663917066593516,0.19973104934440847,-0.007701885413643538,0.0883382951360808,0.12725011368950415,0.21166864859805468
manta,0.25,prevalence_corrected,8-<12,58,0.18060479922700998,0.17378590214563952,0.6574359342194228,0.24617216746761847,-0.0068188970813704616,0.09786161399909325,0.12459169005050647,0.47941931330132326
manta,0.25,raw_downsampled,<4,38,0.04052404600970621,0.09073998948101109,0.5443685000836843,0.1625823963299763,0.05021594347130487,0.083308513804125,0.11061905954760304,0.09026558160828568
manta,0.25,raw_downsampled,4-<8,152,0.08898074205927585,0.13052127990123508,0.6265893770011463,0.19973104934440847,0.04154053784195923,0.1092844788491115,0.13335850037969013,0.13416757311173155
manta,0.25,raw_downsampled,8-<12,58,0.18060479922700998,0.21254391327608138,0.8344634296766178,0.24617216746761847,0.031939114049071404,0.10658297493808533,0.12761137451146154,0.4538792586852036
manta,0.5,conditional_positive,<4,38,0.04052404600970621,0.1625823963299763,1,0.1625823963299763,0.12205835032027008,0.14457521306567572,0.15808947480662316,-0.8580637710533507
manta,0.5,conditional_positive,4-<8,152,0.08898074205927585,0.19973104934440847,1,0.19973104934440847,0.11075030728513262,0.15453508212685824,0.17316268133401372,-0.4598258325239346
manta,0.5,conditional_positive,8-<12,58,0.18060479922700998,0.24617216746761847,1,0.24617216746761847,0.06556736824060849,0.1274010051225249,0.14833518148503605,0.2620987727543258
manta,0.5,prevalence_corrected,<4,38,0.04052404600970621,0.04913146250544202,0.28620718580041316,0.1625823963299763,0.008607416495735818,0.05858836633296563,0.0953227294123071,0.3244653338830502
manta,0.5,prevalence_corrected,4-<8,152,0.08898074205927585,0.08686786382437427,0.394449256049919,0.19973104934440847,-0.002112878234901579,0.08686031940888349,0.12245124960824112,0.2700066845095921
manta,0.5,prevalence_corrected,8-<12,58,0.18060479922700998,0.180672133966052,0.6802283554275137,0.24617216746761847,6.733473904203334e-5,0.09861900493668514,0.12433071677322996,0.4815978753258694
manta,0.5,raw_downsampled,<4,38,0.04052404600970621,0.07157920830801598,0.4215971379525075,0.1625823963299763,0.03105516229830977,0.07022300485854864,0.09836319522193472,0.2806836070065024
manta,0.5,raw_downsampled,4-<8,152,0.08898074205927585,0.1113421826795115,0.5176597304152056,0.19973104934440847,0.022361440620235654,0.09732728433687557,0.12577750309226376,0.22980910823478096
manta,0.5,raw_downsampled,8-<12,58,0.18060479922700998,0.20148955782741995,0.7766137736859718,0.24617216746761847,0.02088475860040999,0.1040452494526576,0.12533148301370883,0.47321881460946513
manta,0.75,conditional_positive,<4,38,0.04052404600970621,0.1625823963299763,1,0.1625823963299763,0.12205835032027008,0.14457521306567572,0.15808947480662316,-0.8580637710533507
manta,0.75,conditional_positive,4-<8,152,0.08898074205927585,0.19973104934440847,1,0.19973104934440847,0.11075030728513262,0.15453508212685824,0.17316268133401372,-0.4598258325239346
manta,0.75,conditional_positive,8-<12,58,0.18060479922700998,0.24617216746761847,1,0.24617216746761847,0.06556736824060849,0.1274010051225249,0.14833518148503605,0.2620987727543258
manta,0.75,prevalence_corrected,<4,38,0.04052404600970621,0.049210538127255156,0.28913422734879035,0.1625823963299763,0.008686492117548947,0.057667574700869535,0.09423109057792171,0.33984922580345367
manta,0.75,prevalence_corrected,4-<8,152,0.08898074205927585,0.08481756829982025,0.3858484935379329,0.19973104934440847,-0.0041631737594555965,0.08609392750158355,0.12237287318395644,0.2709408677973336
manta,0.75,prevalence_corrected,8-<12,58,0.18060479922700998,0.184326824717846,0.6948973234506717,0.24617216746761847,0.0037220254908360458,0.10019404615309327,0.12795063307694646,0.45097164294948244
manta,0.75,raw_downsampled,<4,38,0.04052404600970621,0.058143741361301446,0.34313277397899405,0.1625823963299763,0.01761969535159524,0.061987847609020576,0.0942309054247023,0.3398518200410946
manta,0.75,raw_downsampled,4-<8,152,0.08898074205927585,0.09496717087152799,0.43596565831942047,0.19973104934440847,0.005986428812252141,0.08981442094229397,0.12273366618496512,0.266635547736059
manta,0.75,raw_downsampled,8-<12,58,0.18060479922700998,0.19278691455820812,0.7343160546683742,0.24617216746761847,0.012182115331198146,0.10170428782964307,0.12739779931503792,0.45570574539614883
manta,1,conditional_positive,<4,38,0.04052404600970621,0.1625823963299763,1,0.1625823963299763,0.12205835032027008,0.14457521306567572,0.15808947480662316,-0.8580637710533507
manta,1,conditional_positive,4-<8,152,0.08898074205927585,0.19973104934440847,1,0.19973104934440847,0.11075030728513262,0.15453508212685824,0.17316268133401372,-0.4598258325239346
manta,1,conditional_positive,8-<12,58,0.18060479922700998,0.24617216746761847,1,0.24617216746761847,0.06556736824060849,0.1274010051225249,0.14833518148503605,0.2620987727543258
manta,1,prevalence_corrected,<4,38,0.04052404600970621,0.04662494423930612,0.27371070205433373,0.1625823963299763,0.006100898229599909,0.05689299756564274,0.09413894911138779,0.3411396177728796
manta,1,prevalence_corrected,4-<8,152,0.08898074205927585,0.08688435643947955,0.39206690871210614,0.19973104934440847,-0.0020963856197963064,0.08537420928213806,0.12061448756346481,0.29174215680012294
manta,1,prevalence_corrected,8-<12,58,0.18060479922700998,0.184937217990166,0.6941500590608092,0.24617216746761847,0.00433241876315602,0.0992948960173877,0.12551423436860273,0.4716814488847242
manta,1,raw_downsampled,<4,38,0.04052404600970621,0.04662494423930612,0.27371070205433373,0.1625823963299763,0.006100898229599909,0.05689299756564274,0.09413894911138779,0.3411396177728796
manta,1,raw_downsampled,4-<8,152,0.08898074205927585,0.08688435643947955,0.39206690871210614,0.19973104934440847,-0.0020963856197963064,0.08537420928213806,0.12061448756346481,0.29174215680012294
