programme_key,candidate,learner,scheme,rows,rmse,mae,predictive_r2,bias,occurrence_brier,severe_rows,severe_bias
ltmp,core,brt,leave_one_event_out,199,0.1375022487974822,0.08194957352471427,0.32090724485459,-0.02270796087542822,0.2807917798355364,12,-0.27907146041769115
ltmp,core,brt,reef_blocked_5fold,199,0.13254544261105308,0.07645202085174027,0.368985854754295,-0.00703329192829179,0.2228473017616124,12,-0.24226057761603664
ltmp,core,inla,leave_one_event_out,199,0.14383436375118294,0.09980043934794317,0.256921307005044,0.01024589285783413,0.24278957088202652,12,-0.34077704295976424
ltmp,core,inla,reef_blocked_5fold,199,0.13379481916818667,0.08808164269323551,0.35703387991109203,0.00949955445921442,0.2054282454778661,12,-0.2845492665314377
ltmp,modifier_pca,brt,leave_one_event_out,199,0.15194226356064633,0.08618418016553875,0.17078589780967157,-0.03814275804812608,0.2961547421551182,12,-0.41139521348965863
ltmp,modifier_pca,brt,reef_blocked_5fold,199,0.12857104699725028,0.07364391352210196,0.40626061758021126,-0.00965874632702413,0.24409406210260065,12,-0.24366514035051057
ltmp,modifier_pca,inla,leave_one_event_out,199,0.14601706643948187,0.10315341839834875,0.23419758192874185,0.0154464030259798,0.2349846145249387,12,-0.34783094656320773
ltmp,modifier_pca,inla,reef_blocked_5fold,199,0.1252411991858928,0.08289110450011056,0.4366167509817026,0.00634298821599639,0.2047956410315331,12,-0.27960253178815747
ltmp,sst_chla_raw,brt,leave_one_event_out,199,0.15248221840010526,0.08842233698473628,0.16488189563191558,-0.04092619631883856,0.3277416745847131,12,-0.4094882621360903
ltmp,sst_chla_raw,brt,reef_blocked_5fold,199,0.127260145623752,0.07318736781457473,0.41830634438632286,-0.00857334728968203,0.22272556940805904,12,-0.23392940436741191
ltmp,sst_chla_raw,inla,leave_one_event_out,199,0.14500498718562657,0.09935161144727436,0.24477671107639087,0.00791774276248647,0.24369439995686304,12,-0.35338073940284037
ltmp,sst_chla_raw,inla,reef_blocked_5fold,199,0.12978357950752595,0.08592079109608348,0.3950088920364702,0.00674917701259108,0.2073805376427263,12,-0.2768626030997851
manta,core,brt,leave_one_event_out,248,0.1561397493489483,0.10415857226978756,-0.02646663390422987,-0.03844878840467403,0.33913507052081865,7,-0.4131311125361952
manta,core,brt,reef_blocked_5fold,248,0.1260248380711761,0.08530673677302253,0.3313017643566546,-0.01248033667360631,0.20476895569630713,7,-0.3024436580945806
manta,core,inla,leave_one_event_out,248,0.1461082343456431,0.1075501703504782,0.10119130272311516,-0.0154458697161872,0.2533889549209772,7,-0.4268752671544597
manta,core,inla,reef_blocked_5fold,248,0.1191600076897248,0.08660698391943333,0.40216831855350865,-4.337942596510773e-5,0.17295689683392235,7,-0.3232799176159544
manta,modifier_pca,brt,leave_one_event_out,248,0.15556538581788573,0.10452282055446392,-0.01892876300516799,-0.03468799611348698,0.30019493053969193,7,-0.4467290293969496
manta,modifier_pca,brt,reef_blocked_5fold,248,0.12836493591614528,0.08671006096583515,0.30623769709921744,-0.01439958126070429,0.19381750211153345,7,-0.35225374706906526
