learner,scheme,transitions,severe_n,rmse_pp,mae_pp,predictive_r2,severe_mae_pp,severe_bias_pp,nonsevere_mae_pp,predicted_severe_rate,severe_recall,false_extreme_rate,gate_brier,gate_auc
Aggressive extreme ensemble,forward_2024_2025,339,63,10.138160516946414,7.163147625275946,0.04153563814862915,14.599794462884685,13.73058763948203,5.465652151473951,0.1504424778761062,0.30158730158730157,0.11594202898550725,0.17045372074436166,0.7246376811594203
Aggressive extreme ensemble,recent_year_holdout,1215,114,8.975510789731612,6.4558054612301214,-0.07550049764641709,12.82944596333167,11.421573814436247,5.795864482810888,0.10452674897119342,0.34210526315789475,0.07992733878292461,0.08562120256833962,0.8015918542951384
Aggressive extreme ensemble,reef_blocked_5fold,3089,234,7.392741663820034,5.227536590928404,0.05404197200525096,10.139748858300328,9.109440680827763,4.824924447122789,0.06992554224668178,0.358974358974359,0.04623467600700525,0.06036108472815412,0.8434146122412322
Mortality-augmented base,forward_2024_2025,339,63,11.21820415027001,7.5124141447341595,-0.1735573595529849,19.3013726970752,17.853702103884384,4.821456214308486,0.05014749262536873,0.09523809523809523,0.03985507246376811,0.17045372074436166,0.7246376811594203
Mortality-augmented base,recent_year_holdout,1215,114,8.564539494550981,5.737496660478559,0.020734843937706193,17.243163104862308,16.05502038580088,4.546174249343457,0.03292181069958848,0.14035087719298245,0.021798365122615803,0.08562120256833962,0.8015918542951384
Mortality-augmented base,reef_blocked_5fold,3089,234,6.78893498629913,4.620560793768902,0.2022549718044634,13.808011000030877,13.360217001415345,3.867543859175101,0.020718679184202008,0.1623931623931624,0.009106830122591943,0.06036108472815412,0.8434146122412322
Soft-gated extreme ensemble,forward_2024_2025,339,63,10.58924372228742,7.281526334714149,-0.04565286430960791,17.10496790159873,16.22082839950509,5.039219020533973,0.07964601769911504,0.15873015873015872,0.06159420289855073,0.17045372074436166,0.7246376811594203
Soft-gated extreme ensemble,recent_year_holdout,1215,114,8.59463954445977,5.937911180127986,0.01383949909709492,15.116913665453676,13.85818968233853,4.987496753854481,0.06419753086419754,0.24561403508771928,0.045413260672116255,0.08562120256833962,0.8015918542951384
Soft-gated extreme ensemble,reef_blocked_5fold,3089,234,6.871213395685261,4.751302233932897,0.18280127643194033,12.052623474254187,11.230765285525134,4.152875204078192,0.04208481709291033,0.2606837606837607,0.02416812609457093,0.06036108472815412,0.8434146122412322
