learner,scheme,event_year,transitions,severe_n,observed_change_pp,severe_observed_pp,severe_predicted_pp,predicted_change_pp,rmse_pp
Aggressive extreme ensemble,reef_blocked_5fold,2015,40,0,3.1536777570138095,NA,NA,-2.4899236273028276,9.230447071625779
Aggressive extreme ensemble,reef_blocked_5fold,2016,55,4,0.5032428775061415,-14.735643888216181,-6.524290834439013,-2.371226590027908,6.953727087221075
Aggressive extreme ensemble,reef_blocked_5fold,2017,63,18,-7.776669411236795,-23.07702892591975,-16.102308529561007,-8.953073698373876,9.396175091939163
Aggressive extreme ensemble,reef_blocked_5fold,2018,56,1,0.7796736658218489,-11.507170615456582,-10.546243037124905,-2.0421417895160854,5.3602308522332995
Aggressive extreme ensemble,reef_blocked_5fold,2019,87,3,1.751558821478579,-16.876997099648346,-4.156410566931651,-1.947866691802027,7.688627417426562
Aggressive extreme ensemble,reef_blocked_5fold,2020,98,1,4.265822596673907,-29.293304741487443,-13.111328198561932,-0.8616593443348782,9.163001647176037
Aggressive extreme ensemble,reef_blocked_5fold,2021,172,8,2.639571012729044,-15.957781994397392,-4.368065399532422,-2.3857350750307207,8.92673110327892
Aggressive extreme ensemble,reef_blocked_5fold,2022,184,10,0.630152478005479,-15.224099792975354,-4.911963369714032,-1.1607935668632476,6.125968732531909
Aggressive extreme ensemble,reef_blocked_5fold,2023,161,6,1.9008294648574016,-13.057308115996177,-4.892345878311956,-2.0464413051605073,7.672425460917018
Aggressive extreme ensemble,reef_blocked_5fold,2024,234,53,-5.892317748720672,-21.578786471466284,-15.404573687804179,-7.478118560045452,8.250897164173885
Aggressive extreme ensemble,reef_blocked_5fold,2025,105,10,-0.046068076599038714,-17.90738312333458,-4.4619306647596595,-2.953799973156003,8.68971069486843
Mortality-augmented base,forward_2024_2025,2024,234,53,-5.892317748720672,-21.578786471466284,-3.8265659632217637,-1.7280852717622208,12.342255040073727
Mortality-augmented base,forward_2024_2025,2025,105,10,-0.046068076599038714,-17.90738312333458,0.48417143744108354,0.18463471963599817,8.174870122807034
Mortality-augmented base,recent_year_holdout,2016,55,4,0.5032428775061415,-14.735643888216181,-1.422244453440767,0.418471778554655,6.01518281366241
Mortality-augmented base,recent_year_holdout,2017,63,18,-7.776669411236795,-23.07702892591975,-11.873079106960684,-8.56320032771739,13.350831519713022
Mortality-augmented base,recent_year_holdout,2018,56,1,0.7796736658218489,-11.507170615456582,-3.475629034342373,0.07153550433156139,4.157582867540457
Mortality-augmented base,recent_year_holdout,2019,87,3,1.751558821478579,-16.876997099648346,-0.7692536294177265,-0.03242919549670522,6.636062731408565
Mortality-augmented base,recent_year_holdout,2020,98,1,4.265822596673907,-29.293304741487443,-8.145948668532576,-0.3497982509603968,8.653860914530963
Mortality-augmented base,recent_year_holdout,2021,172,8,2.639571012729044,-15.957781994397392,-0.3984660637317068,-0.6476988454239099,8.095714009012417
Mortality-augmented base,recent_year_holdout,2022,184,10,0.630152478005479,-15.224099792975354,-2.076009957058303,0.9400870250800845,5.49187363467877
Mortality-augmented base,recent_year_holdout,2023,161,6,1.9008294648574016,-13.057308115996177,-0.9665305908979096,0.18740027814277688,6.251512395372358
Mortality-augmented base,recent_year_holdout,2024,234,53,-5.892317748720672,-21.578786471466284,-2.8668915310624317,-0.9058029564208069,12.079435454622844
Mortality-augmented base,recent_year_holdout,2025,105,10,-0.046068076599038714,-17.90738312333458,-0.14588525936610752,-0.10373560004664219,7.871467051639418
Mortality-augmented base,reef_blocked_5fold,1985,1,0,-1.5568301207428303,NA,NA,0.8811230179733454,2.4379531387161757
Mortality-augmented base,reef_blocked_5fold,1986,32,8,-3.6809601956006563,-18.594835191491956,-2.350507483624082,-6.286334220091244e-4,11.57581024638361
Mortality-augmented base,reef_blocked_5fold,1987,38,4,2.1294790112465662,-15.414148566404593,0.5312684250468067,0.44108387095480417,8.587303956341138
Mortality-augmented base,reef_blocked_5fold,1988,38,5,-0.8442199475016511,-13.025851901558573,-3.8327207068983213,-0.19802956446917844,9.07338654289417
Mortality-augmented base,reef_blocked_5fold,1989,35,1,1.4918536691191653,-12.950174441194523,0.5373124411274355,0.23314639084738875,6.023265851242449
Mortality-augmented base,reef_blocked_5fold,1990,27,4,-4.120867080133415,-17.938779356703225,-1.04574480057531,0.6007159736556352,8.207870166447998
Mortality-augmented base,reef_blocked_5fold,1991,20,1,2.4189934679376273,-25.79940523323482,2.663015540957331,0.057833515942287236,9.264596963331002
Mortality-augmented base,reef_blocked_5fold,1992,8,3,-3.9953107796107177,-13.915335729463292,-6.343482060520637,-2.2719105511701523,6.0713878430245405
Mortality-augmented base,reef_blocked_5fold,1993,24,0,-1.4080244717878514,NA,NA,0.6982068408783081,4.231294618069855
Mortality-augmented base,reef_blocked_5fold,1994,58,1,1.8991926914838082,-13.267636342843792,-1.2572699829887457,0.9644045942703847,5.376863911740147
Mortality-augmented base,reef_blocked_5fold,1995,95,0,2.1249234628110885,NA,NA,0.5628535558581315,4.898180994234161
Mortality-augmented base,reef_blocked_5fold,1996,84,5,-0.6610467864031385,-19.806488323565976,-4.716990033458245,0.29047642810324936,6.061246033260852
Mortality-augmented base,reef_blocked_5fold,1997,95,8,0.013599714152596266,-15.430514423065443,-2.5150636574781586,2.0674259949367055e-4,6.373906600837529
Mortality-augmented base,reef_blocked_5fold,1998,105,5,1.496506811886049,-13.01786535504403,-1.5824938155704456,0.10198736285063842,6.129666880569304
Mortality-augmented base,reef_blocked_5fold,1999,92,6,-0.6456330411314184,-15.19168879826945,-1.244108057593063,-0.432025672709679,5.679160050393719
Mortality-augmented base,reef_blocked_5fold,2000,85,5,-1.2502058796141375,-10.603614745751322,-1.3761251480540886,-0.5640342793142342,4.385183803948334
Mortality-augmented base,reef_blocked_5fold,2001,87,6,-0.6910350017625203,-15.135487448472205,-2.0880831436598393,-0.24499447709113856,5.606088034661649
Mortality-augmented base,reef_blocked_5fold,2002,103,4,-1.706589478787448,-11.548235910062782,-0.14539919290139364,-0.08808955331053961,5.1748244567602715
Mortality-augmented base,reef_blocked_5fold,2003,95,2,-0.5517664067297324,-12.953384379844707,-1.858992874334961,0.36776606203280243,4.215600811418306
Mortality-augmented base,reef_blocked_5fold,2004,87,4,0.6235092126425372,-13.821501239484842,-0.21382886188630046,1.0177360531416928,4.98960791154343
Mortality-augmented base,reef_blocked_5fold,2005,51,1,-0.1687523799193932,-12.898016959730937,-0.4237406180314096,0.7353909336878701,4.198379172333192
Mortality-augmented base,reef_blocked_5fold,2006,99,10,-1.1996662094802113,-24.009306006270776,-3.695973607481932,-0.05186729181205766,8.547059519068485
Mortality-augmented base,reef_blocked_5fold,2007,70,5,-0.36380069733114134,-13.06248437261103,-4.683045337640985,0.21613982456105374,4.931378001280342
Mortality-augmented base,reef_blocked_5fold,2008,61,3,0.29764461198947656,-39.373474571205975,-2.200267508967387,0.7527234084497344,10.388427952776299
Mortality-augmented base,reef_blocked_5fold,2009,73,3,-0.13608703275011916,-18.794851531296047,-1.7286961007155617,-0.026629085540271963,5.961414648195516
Mortality-augmented base,reef_blocked_5fold,2010,63,5,-1.9178114402032216,-14.220780189626593,-0.7486667077602853,-0.18872660104042863,6.190213100524816
