event_year,site,deep_gt5m_dhw,shallow_0_5m_dhw,deep_gt5m_depth,shallow_0_5m_depth,shallow_minus_deep_dhw,dhw_discrepancy_change_per_m
2016,Erskine Island,0.0,0.0,8.5,4.0,0.0,0.0
2016,Lizard Island,-0.3545556587513321,-0.683264140547168,10.1,0.6,-0.3287084817958359,0.03460089282061431
2017,Erskine Island,-0.2882149808051168,0.2111841880993259,8.5,4.0,0.4993991689044427,-0.11097759308987615
2020,Lizard Island,-4.269686200406284,0.4103421147423116,9.0,0.6,4.680028315148595,-0.5571462279938804
2022,Lizard Island,-2.605229095696724,-1.888128583061764,10.0,5.0,0.7171005126349599,-0.14342010252699197
