model,evaluation,rows,flood30_rows,prevalence,average_precision,brier,balanced_brier,top_10pct_recall
Hybrid,Reef-blocked 2024,323,67,0.20743034055727555,0.38023427750152594,0.14269634240786336,0.27489016003360117,0.1791044776119403
Operational proxies,Reef-blocked 2024,323,67,0.20743034055727555,0.36475967873317916,0.1436470379706001,0.2679304249902342,0.14925373134328357
Spatial prior,Reef-blocked 2024,323,67,0.20743034055727555,0.3902818897029905,0.15563664907364735,0.3282876094059796,0.1791044776119403
eReefs calibrated,Reef-blocked 2024,323,67,0.20743034055727555,0.3987073318732877,0.15604427769540735,0.3306802582327085,0.19402985074626866
Hybrid,All reef-blocked rows,1034,190,0.18375241779497098,0.3388438281541317,0.1415447103489159,0.32309326914018816,0.16842105263157894
Operational proxies,All reef-blocked rows,1034,190,0.18375241779497098,0.31663422521976015,0.1453524575446396,0.3303933184673454,0.16842105263157894
Spatial prior,All reef-blocked rows,1034,190,0.18375241779497098,0.30918722835122986,0.1453897227411443,0.34140928373315715,0.1736842105263158
eReefs calibrated,All reef-blocked rows,1034,190,0.18375241779497098,0.32992973644936474,0.14231571388114347,0.3334337543867307,0.18421052631578946
