predictor,median,scheme,fold
log1p_cot_idwmeanpertow,0.00179838194137937,recent_year_holdout,2019
log_coastal_rain30,5.974353856470223,recent_year_holdout,2019
era5_wind_mean,5.7756476402282715,recent_year_holdout,2019
era5_wind_calm_fraction,0.10989010989010987,recent_year_holdout,2019
era5_coastal_distance_km,53.443772818368494,recent_year_holdout,2019
uq_coralsink1,0.473684221506119,recent_year_holdout,2019
previous_change_available,1,recent_year_holdout,2019
wqc_available,1,recent_year_holdout,2019
cots_available,1,recent_year_holdout,2019
mortality_environment_available,0,recent_year_holdout,2019
weather_available,0,recent_year_holdout,2019
pre_cover,0.24046003967182727,recent_year_holdout,2020
available_space,0.7595399603281727,recent_year_holdout,2020
interval_years,1.0130047912388775,recent_year_holdout,2020
prior_change_pp,0.6919690020806835,recent_year_holdout,2020
prop_acropora_pre,0.25834136927469065,recent_year_holdout,2020
acropora_cover_pre,0.05648568501180796,recent_year_holdout,2020
depth,9,recent_year_holdout,2020
sst_maxdhw,1,recent_year_holdout,2020
histmDHW6,7.375,recent_year_holdout,2020
yrsince6,5,recent_year_holdout,2020
dhw10_load4,5.54,recent_year_holdout,2020
dhw_novelty10,-1.1949999999999998,recent_year_holdout,2020
secc3m_p10,10.87734117915917,recent_year_holdout,2020
cloudp_90,0.7100266,recent_year_holdout,2020
wqc_freqcc12,0.0908412162266066,recent_year_holdout,2020
wqc_prior10_percentile,0.5,recent_year_holdout,2020
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2020
log1p_cot_idwmeanpertow,0.00189819728308025,recent_year_holdout,2020
log_coastal_rain30,5.9564609866871034,recent_year_holdout,2020
era5_wind_mean,5.830949306488037,recent_year_holdout,2020
era5_wind_calm_fraction,0.0989010989010989,recent_year_holdout,2020
era5_coastal_distance_km,53.234037016786004,recent_year_holdout,2020
uq_coralsink1,0.473684221506119,recent_year_holdout,2020
previous_change_available,1,recent_year_holdout,2020
wqc_available,1,recent_year_holdout,2020
cots_available,1,recent_year_holdout,2020
mortality_environment_available,0,recent_year_holdout,2020
weather_available,0,recent_year_holdout,2020
pre_cover,0.23950467517116691,recent_year_holdout,2021
available_space,0.7604953248288331,recent_year_holdout,2021
interval_years,1.0130047912388775,recent_year_holdout,2021
prior_change_pp,0.5311840697211745,recent_year_holdout,2021
prop_acropora_pre,0.25835783163767373,recent_year_holdout,2021
acropora_cover_pre,0.05649578535308946,recent_year_holdout,2021
depth,9,recent_year_holdout,2021
sst_maxdhw,1.0597301587301602,recent_year_holdout,2021
histmDHW6,7.46,recent_year_holdout,2021
yrsince6,4,recent_year_holdout,2021
dhw10_load4,5.715,recent_year_holdout,2021
dhw_novelty10,-1.74,recent_year_holdout,2021
secc3m_p10,10.760301179946076,recent_year_holdout,2021
cloudp_90,0.7158458,recent_year_holdout,2021
wqc_freqcc12,0.0917874996121685,recent_year_holdout,2021
wqc_prior10_percentile,0.5,recent_year_holdout,2021
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2021
log1p_cot_idwmeanpertow,0.00189819728308025,recent_year_holdout,2021
log_coastal_rain30,5.974353856470223,recent_year_holdout,2021
era5_wind_mean,5.7756476402282715,recent_year_holdout,2021
era5_wind_calm_fraction,0.10989010989010987,recent_year_holdout,2021
era5_coastal_distance_km,53.443772818368494,recent_year_holdout,2021
uq_coralsink1,0.473684221506119,recent_year_holdout,2021
previous_change_available,1,recent_year_holdout,2021
wqc_available,1,recent_year_holdout,2021
cots_available,1,recent_year_holdout,2021
mortality_environment_available,0,recent_year_holdout,2021
weather_available,0,recent_year_holdout,2021
pre_cover,0.23793545138310712,recent_year_holdout,2022
available_space,0.7620645486168929,recent_year_holdout,2022
interval_years,1.0102669404517455,recent_year_holdout,2022
prior_change_pp,0.5655607214190422,recent_year_holdout,2022
prop_acropora_pre,0.25984286030146087,recent_year_holdout,2022
acropora_cover_pre,0.05656231123090731,recent_year_holdout,2022
depth,9,recent_year_holdout,2022
sst_maxdhw,1,recent_year_holdout,2022
histmDHW6,7.39,recent_year_holdout,2022
yrsince6,7,recent_year_holdout,2022
dhw10_load4,4.39,recent_year_holdout,2022
dhw_novelty10,-0.05500000000000001,recent_year_holdout,2022
secc3m_p10,10.576577555807877,recent_year_holdout,2022
cloudp_90,0.72370344,recent_year_holdout,2022
wqc_freqcc12,0.0909090936183929,recent_year_holdout,2022
wqc_prior10_percentile,0.5,recent_year_holdout,2022
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2022
log1p_cot_idwmeanpertow,0.00169855663558147,recent_year_holdout,2022
log_coastal_rain30,6.032604992199209,recent_year_holdout,2022
era5_wind_mean,5.748272895812988,recent_year_holdout,2022
era5_wind_calm_fraction,0.12087912087912088,recent_year_holdout,2022
era5_coastal_distance_km,53.443772818368494,recent_year_holdout,2022
uq_coralsink1,0.473684221506119,recent_year_holdout,2022
previous_change_available,1,recent_year_holdout,2022
wqc_available,1,recent_year_holdout,2022
cots_available,1,recent_year_holdout,2022
mortality_environment_available,0,recent_year_holdout,2022
weather_available,0,recent_year_holdout,2022
pre_cover,0.23780805235225028,recent_year_holdout,2023
available_space,0.7621919476477497,recent_year_holdout,2023
interval_years,1.0102669404517455,recent_year_holdout,2023
prior_change_pp,0.6558450723510578,recent_year_holdout,2023
prop_acropora_pre,0.25835783163767373,recent_year_holdout,2023
acropora_cover_pre,0.0563183889705533,recent_year_holdout,2023
depth,9,recent_year_holdout,2023
sst_maxdhw,1.0155902,recent_year_holdout,2023
histmDHW6,7.46,recent_year_holdout,2023
yrsince6,4,recent_year_holdout,2023
dhw10_load4,5.715,recent_year_holdout,2023
dhw_novelty10,-1.74,recent_year_holdout,2023
secc3m_p10,10.760301179946076,recent_year_holdout,2023
cloudp_90,0.7158458,recent_year_holdout,2023
wqc_freqcc12,0.0910260983020631,recent_year_holdout,2023
wqc_prior10_percentile,0.5,recent_year_holdout,2023
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2023
log1p_cot_idwmeanpertow,0.00159872136369702,recent_year_holdout,2023
log_coastal_rain30,5.974353856470223,recent_year_holdout,2023
era5_wind_mean,5.7756476402282715,recent_year_holdout,2023
era5_wind_calm_fraction,0.10989010989010987,recent_year_holdout,2023
era5_coastal_distance_km,53.443772818368494,recent_year_holdout,2023
uq_coralsink1,0.473684221506119,recent_year_holdout,2023
previous_change_available,1,recent_year_holdout,2023
wqc_available,1,recent_year_holdout,2023
cots_available,1,recent_year_holdout,2023
mortality_environment_available,0,recent_year_holdout,2023
weather_available,0,recent_year_holdout,2023
pre_cover,0.23589246317181037,recent_year_holdout,2024
available_space,0.7641075368281897,recent_year_holdout,2024
interval_years,1.0102669404517455,recent_year_holdout,2024
prior_change_pp,0.6506514260748781,recent_year_holdout,2024
prop_acropora_pre,0.25574377419025685,recent_year_holdout,2024
acropora_cover_pre,0.05533598756995467,recent_year_holdout,2024
depth,9,recent_year_holdout,2024
sst_maxdhw,1,recent_year_holdout,2024
histmDHW6,7.45,recent_year_holdout,2024
yrsince6,5,recent_year_holdout,2024
dhw10_load4,4.859999999999999,recent_year_holdout,2024
dhw_novelty10,-2.56,recent_year_holdout,2024
secc3m_p10,11.307895097741175,recent_year_holdout,2024
cloudp_90,0.69019616,recent_year_holdout,2024
wqc_freqcc12,0.0940861978177227,recent_year_holdout,2024
wqc_prior10_percentile,0.5,recent_year_holdout,2024
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2024
log1p_cot_idwmeanpertow,0.00189819728308025,recent_year_holdout,2024
log_coastal_rain30,5.979312548097701,recent_year_holdout,2024
era5_wind_mean,5.682276725769043,recent_year_holdout,2024
