learner,scheme,transitions,severe_n,rmse_pp,mae_pp,predictive_r2,severe_mae_pp,severe_bias_pp,nonsevere_mae_pp
Binomial + beta hurdle GAM,forward_2024_2025,339,63,10.828780824963914,7.305728429775184,-0.09349492166157768,18.726251881311143,16.77310066133255,4.698869815837628
Binomial + beta hurdle GAM,recent_year_holdout,1215,114,8.727085401159673,5.854793367766443,-0.01678872273557607,16.358343226072627,13.600543432347534,4.767232347015394
Binomial + beta hurdle GAM,reef_blocked_5fold,3089,234,6.889526400205748,4.7673640667317025,0.17843951214584453,13.424447817888629,12.92843314366153,4.057816747022168
