interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,programme_rmse,event_rmse,severe_rmse,selection_score,scheme,fold
3,0.03,10,gaussian,250,495,0.13946648128396477,1.5514666612480426,1.5514666612480426,NA,NA,leave_one_event_out,2016
3,0.01,10,gaussian,500,463,0.1351355563546758,1.453885260927271,1.453885260927271,NA,NA,leave_one_event_out,2017
3,0.01,5,gaussian,500,427,0.14540828665239514,1.5023568414501298,1.5023568414501298,NA,NA,leave_one_event_out,2020
2,0.03,5,gaussian,250,444,0.1505130133365344,1.5857529938122332,1.5857529938122332,NA,NA,leave_one_event_out,2022
3,0.03,5,gaussian,100,319,0.10441949004609195,0.9324958630704484,0.9324958630704483,NA,NA,leave_one_event_out,2024
3,0.03,5,gaussian,250,444,0.14300456337711626,1.506646564819182,1.5066465648191822,NA,NA,reef_blocked_2024,1
3,0.01,5,gaussian,1000,448,0.13643818347776526,1.4439260112622743,1.4439260112622743,NA,NA,reef_blocked_2024,2
3,0.03,5,gaussian,500,444,0.14125557013167775,1.488219777569164,1.4882197775691641,NA,NA,reef_blocked_2024,3
3,0.03,5,gaussian,250,439,0.1445091337874029,1.513901301221916,1.5139013012219158,NA,NA,reef_blocked_2024,4
3,0.03,10,gaussian,250,444,0.12451018265646814,1.3117961731729986,1.3117961731729986,NA,NA,reef_blocked_2024,5
