scheme,programme_key,rmse_joint_compound_brt,rmse_joint_core_brt,severe_mae_joint_compound_brt,severe_mae_joint_core_brt,severe_bias_joint_compound_brt,severe_bias_joint_core_brt,nonsevere_mae_joint_compound_brt,nonsevere_mae_joint_core_brt,delta_rmse_compound_minus_core,delta_severe_mae_compound_minus_core,delta_nonsevere_mae_compound_minus_core
leave_one_event_out,ltmp,0.1358908432561256,0.13733430419410347,0.2785621384370466,0.2618929846417732,0.2785621384370466,0.2618929846417732,0.053790143741771004,0.06262906794406692,-0.0014434609379778696,0.016669153795273395,-0.008838924202295914
leave_one_event_out,manta,0.15186613680186797,0.15828556531301208,0.2507483287529014,0.2397082708437138,0.24797959362149086,0.23733271221040123,0.06126796923239059,0.07599403724681435,-0.006419428511144104,0.011040057909187578,-0.014726068014423756
leave_one_event_out,mmp,0.301631377190105,0.29236301705101053,0.341934835849533,0.33489678229907477,0.25675446696677284,0.2882687569741178,0.13228007769807967,0.11235110166547571,0.00926836013909449,0.007038053550458223,0.019928976032603962
reef_blocked_2024,ltmp,0.1155870164291983,0.11519478247974956,0.1442785047192076,0.15481654401478945,0.14153754177531738,0.15481654401478945,0.076977310947761,0.07158899481177132,3.9223394944874757e-4,-0.010538039295581836,0.005388316135989682
reef_blocked_2024,manta,0.15128838711407075,0.1614174064610609,0.1646411141764985,0.17877468687256845,0.144761800205275,0.168059445691515,0.08645819687261781,0.08325400729026808,-0.010129019346990148,-0.014133572696069963,0.003204189582349734
reef_blocked_2024,mmp,0.2509035941778198,0.2417911324906799,0.24737055398666527,0.24603938301157155,0.22509543608247265,0.2315747700142771,0.11461749915952237,0.09964555233822002,0.009112461687139917,0.0013311709750937206,0.014971946821302345
