scheme,programme_key,learner,n,severe_n,rmse,mae,predictive_r2,bias_observed_minus_predicted,severe_mae,severe_bias,nonsevere_mae
leave_one_event_out,ltmp,joint_compound_brms,199,29,0.15038783044076584,0.09602055985218129,0.18766552753126864,0.02094664084891279,0.32391123437008384,0.32391123437008384,0.05714509184618615
leave_one_event_out,ltmp,joint_compound_brt,199,29,0.1358908432561256,0.08654586156168553,0.33673072057455145,0.01897955054469989,0.2785621384370466,0.2785621384370466,0.053790143741771004
leave_one_event_out,ltmp,joint_core_brt,199,29,0.13733430419410347,0.09166752816634573,0.3225651132075984,0.0019780040560864326,0.2618929846417732,0.2618929846417732,0.06262906794406692
leave_one_event_out,ltmp,routed_benchmark,199,29,0.12841651730876918,0.08022762851639638,0.4076869919702998,-0.006384216196920988,0.2120563476737631,0.17359756828301787,0.057739199954257345
leave_one_event_out,manta,joint_compound_brms,248,56,0.15761863935991025,0.11279325992269434,-0.046003239214305935,0.034676071086762024,0.27523634683487713,0.2696262261375146,0.06541402623997437
leave_one_event_out,manta,joint_compound_brt,248,56,0.15186613680186797,0.10405385686605431,0.028954070708894664,0.03274287717047328,0.2507483287529014,0.24797959362149086,0.06126796923239059
leave_one_event_out,manta,joint_core_brt,248,56,0.15828556531301208,0.11296176741385616,-0.05487379651519797,0.017476843583977716,0.2397082708437138,0.23733271221040123,0.07599403724681435
leave_one_event_out,manta,routed_benchmark,248,56,0.1405142011824484,0.10523346489534197,0.16869896978569987,0.010599602640169119,0.22102067251793067,0.21645850738281291,0.07146219600542025
leave_one_event_out,mmp,joint_compound_brms,90,35,0.3238359085876988,0.23160975134773043,-0.9506187188601531,0.002001476123673954,0.3466929253322748,0.23766032414773147,0.1583750042666567
leave_one_event_out,mmp,joint_compound_brt,90,35,0.301631377190105,0.21381248364586708,-0.6922924379556643,0.029485400775514814,0.341934835849533,0.25675446696677284,0.13228007769807967
leave_one_event_out,mmp,joint_core_brt,90,35,0.29236301705101053,0.19889664413409758,-0.5898906294052728,0.05655951947919578,0.33489678229907477,0.2882687569741178,0.11235110166547571
leave_one_event_out,mmp,routed_benchmark,90,35,0.21638413138105295,0.141590251874341,0.1290901616398057,0.004318675446814763,0.20697713909277676,0.15859402073597892,0.09998041455351823
reef_blocked_2024,ltmp,formal_spatial_benchmark,75,12,0.10970388174112335,0.07759938721911123,0.505659371289521,0.01045780329056815,0.18743376752700072,0.17939698642650656,0.05667855287475134
reef_blocked_2024,ltmp,joint_compound_brms,75,12,0.11200114944018548,0.08761912361143008,0.4847389960110392,-0.013179719194404287,0.16071132721291745,0.14174229331610153,0.07369679911590868
reef_blocked_2024,ltmp,joint_compound_brt,75,12,0.1155870164291983,0.08774550195119246,0.45121728575423103,-0.027707270546407852,0.1442785047192076,0.14153754177531738,0.076977310947761
reef_blocked_2024,ltmp,joint_core_brt,75,12,0.11519478247974956,0.08490540268425421,0.45493545411612213,-0.021984720244339943,0.15481654401478945,0.15481654401478945,0.07158899481177132
reef_blocked_2024,manta,formal_spatial_benchmark,89,39,0.15681410956157657,0.12858016789558002,0.2302818940187744,0.024194008034748967,0.16864627062271864,0.16342552666685356,0.09732860776841189
reef_blocked_2024,manta,joint_compound_brms,89,39,0.17479446710558832,0.13583979568187607,0.04365015279344142,0.038297771678854106,0.2004272486519482,0.16410645733139007,0.08546158236521983
reef_blocked_2024,manta,joint_compound_brt,89,39,0.15128838711407075,0.12071812692712733,0.2835718932919672,0.024655688012443628,0.1646411141764985,0.144761800205275,0.08645819687261781
reef_blocked_2024,manta,joint_core_brt,89,39,0.1614174064610609,0.12511138373644465,0.18442827648964866,0.03600639895886417,0.17877468687256845,0.168059445691515,0.08325400729026808
reef_blocked_2024,mmp,formal_spatial_benchmark,54,25,0.26268563689050317,0.19151176363074193,0.06776605430058669,-0.00429695490778974,0.23115785146183704,0.1721231776502066,0.15733410170738407
reef_blocked_2024,mmp,joint_compound_brms,54,25,0.25064100697997355,0.1812644781008867,0.1512954857877571,0.0640985704467303,0.2644726370694097,0.26410270599188057,0.10953330657629787
reef_blocked_2024,mmp,joint_compound_brt,54,25,0.2509035941778198,0.17607724676468112,0.14951624237219174,0.04311454605031888,0.24737055398666527,0.22509543608247265,0.11461749915952237
reef_blocked_2024,mmp,joint_core_brt,54,25,0.2417911324906799,0.16742047394625315,0.21017114196604902,0.05402883816075505,0.24603938301157155,0.2315747700142771,0.09964555233822002
