max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits,scheme,fold,n_analysis,n_assessment
1.0341315040592838,149.32873514764455,317.3873748339326,0,0,reef_blocked_2024,1,448,42
1.0174616906217908,187.9982365578172,199.53370496554143,0,0,reef_blocked_2024,2,436,50
1.0140214230696352,190.32744020083857,359.804421337745,0,0,reef_blocked_2024,3,446,42
1.0106975666402385,179.41586754170925,241.8512115375044,0,0,reef_blocked_2024,4,448,39
1.0199990615668095,153.5129408661795,267.0509416164365,0,0,reef_blocked_2024,5,441,45
1.0132768986797878,179.01780189573074,274.6708912656578,0,0,leave_one_event_out,2016,495,42
1.0120327572765533,200.5391410928581,280.6392115013166,0,0,leave_one_event_out,2017,463,74
1.0099413345780515,204.32529752768033,425.7222246171712,0,0,leave_one_event_out,2020,427,110
1.0167950833229824,219.0572184236081,366.9812205759781,0,0,leave_one_event_out,2022,444,93
1.0123931141142934,161.13846972758174,365.48686245006354,0,0,leave_one_event_out,2024,319,218
