effect,parameter,ecological_direction,estimate,q025,q50,q975,probability_ecological_direction
Rainfall main effect on positive mortality,b_log_coastal_rain30_z,positive,0.3812756645285331,0.1731538843316497,0.380186125815869,0.5963380411108861,0.9997916666666666
DHW x rainfall on positive mortality,b_ann_maxdhw_z:log_coastal_rain30_z,positive,-0.10200604016865043,-0.26956464799125956,-0.10144148948030832,0.06458442269588371,0.11770833333333333
Calm main effect on positive mortality,b_era5_wind_calm_fraction_z,positive,0.1348044481817651,-0.2252445769212683,0.13337290018032993,0.4876789066963237,0.775
DHW x calm on positive mortality,b_ann_maxdhw_z:era5_wind_calm_fraction_z,positive,-0.11842735614494597,-0.28029671754371704,-0.11951828204163847,0.04256309171840122,0.07645833333333334
Rainfall main effect on zero inflation,b_zoi_log_coastal_rain30_z,negative,-0.1567841442549872,-0.40842980915628724,-0.15738004380661122,0.08525166695806452,0.8902083333333334
DHW x rainfall on zero inflation,b_zoi_ann_maxdhw_z:log_coastal_rain30_z,negative,0.15067359460092616,-0.07194211710781652,0.1497520855481445,0.3906345621073165,0.10166666666666667
Calm main effect on zero inflation,b_zoi_era5_wind_calm_fraction_z,negative,-0.34853192187155296,-0.8081479508887238,-0.3453833955195881,0.09167601553595457,0.936875
DHW x calm on zero inflation,b_zoi_ann_maxdhw_z:era5_wind_calm_fraction_z,negative,-0.016256821624286148,-0.24435558209396788,-0.015721242424260748,0.20392006539726948,0.5583333333333333
