source_observation_id,ReefID,ReefName,region_block,ann_maxdhw,prop_acropora_pre,log_coastal_rain30,era5_wind_calm_fraction,DISTURBANCE_TYPE,description,observed_mortality,predicted_mortality_joint_compound_brms,predicted_mortality_joint_compound_brt,predicted_mortality_joint_core_brt,predicted_mortality_formal_spatial_benchmark,absolute_error_joint_compound_brms,absolute_error_joint_compound_brt,absolute_error_joint_core_brt,absolute_error_formal_spatial_benchmark,coastal_rain30_mm,weather_gain_vs_core,weather_gain_vs_formal
4206375,14-114,MacGillivray Reef (14-114),Northern GBR,5.93,0.22238725883456137,6.662192357426267,0.1978021978021978,b,DHW 6.03,0.3889435143171571,0.15617341814610924,0.2624476354513093,0.17195991616471476,0.2019215453398896,0.23277009617104788,0.12649587886584784,0.21698359815244236,0.18702196897726753,781.2640609741208,0.09048771928659452,0.060526090111419684
4206312,15-030,Swinger Reef (15-030),Northern GBR,3.87,0.16516947525043257,6.7363531973548385,0.15384615384615383,b,DHW 3.87,0.34618830788839955,0.12656969629856593,0.14628058837044744,0.0609015430566188,0.16396007323898226,0.2196186115898336,0.1999077195179521,0.2852867648317807,0.1822282346494173,841.4827585220339,0.08537904531382862,-0.017679484868534823
3988509,14-147a,South Direction Reef (North) (14-147a),Northern GBR,6.4,0.41269945972762634,6.662192357426267,0.1978021978021978,b,DHW 6.4 aerial bl 5,0.2226589198311119,0.09342791940903006,0.21255558022328927,0.1433311340576064,0.11531262791063242,0.12923100042208188,0.01010333960782267,0.07932778577350555,0.1073462919204795,781.2640609741208,0.06922444616568288,0.09724295231265682
4206246,16-057,Hastings Reef (16-057),Central GBR,7.62,0.1802122772005963,6.940920589169635,0.13186813186813187,m,Jasper,0.4288792674978628,0.13149851521783898,0.11643039500198785,0.04793975704312223,0.12104324795254588,0.2973807522800238,0.31244887249587494,0.38093951045474056,0.3078360195453169,1032.721409797669,0.06849063795886562,-0.004612852950558022
4285515,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,6.2700000000000005,0.14877724148928995,6.662192357426267,0.1978021978021978,b,DHW 6.27  aerial bl 4,0.4615802349862708,0.078792859824511,0.16763063111205032,0.10052587177598175,0.19074963500618924,0.38278737516175976,0.2939496038742204,0.361054363210289,0.2708305999800816,781.2640609741208,0.06710475933606858,-0.023119003894138845
4206488,16-019,St Crispin Reef (16-019),Central GBR,5.87,0.5909846656384597,6.6724338344427165,0.15384615384615383,m,DHW 6.98,0.207455587532888,0.093450905462983,0.2195460129701626,0.1366267212683289,0.12495869644123428,0.114004682069905,0.01209042543727462,0.07082886626455911,0.08249689109165373,789.3167657852172,0.058738440827284494,0.07040646565437911
4206192,16-015,Mackay Reef (16-015),Central GBR,3.52,0.42204831685259386,6.6724338344427165,0.15384615384615383,NA,NA,0.6125403307582871,0.1155910354415709,0.18325192299108328,0.12867749988912788,0.14691660916427818,0.49694929531671617,0.4292884077672038,0.4838628308691592,0.4656237215940089,789.3167657852172,0.05457442310195543,0.036335313826805105
4284672,22-088a,U/N Reef (22-088a),Southern GBR,7.58,0.2864416104796866,5.293126064302306,0.05494505494505494,NA,NA,0.3397865462448271,0.0508047831016951,0.12655470546472777,0.08084071472452946,0.14727477643742115,0.288981763143132,0.21323184078009935,0.25894583152029765,0.19251176980740597,197.9644298553466,0.0457139907401983,-0.020720070972693377
4284725,23-048,Broomfield Reef (23-048),Southern GBR,11.6,0.862233938344424,5.301987044294902,0.03296703296703297,m,Aerial bl 5 2024   DHW 11.6,0.5712917276690362,0.440130290780375,0.4313382739039094,0.38775982203539777,0.2703234705895635,0.13116143688866122,0.13995345376512686,0.18353190563363847,0.3009682570794727,199.7352838516235,0.043578451868511614,0.16101480331434587
3988617,14-118,Eyrie Reef (14-118),Northern GBR,6.2700000000000005,0.5154641976894707,6.662192357426267,0.1978021978021978,b,DHW 6.27 to 6.32,0.5256729155551548,0.15850672867002594,0.27956480221032604,0.23848379136321832,0.23858891414599848,0.3671661868851289,0.2461081133448288,0.28718912419193654,0.28708400140915635,781.2640609741208,0.041081010847107746,0.04097588806432756
